Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/health,828,0,27,27.62887482967399,1.9480419978208374,93.28829100195435,15.0,14.020611004452078,0.0,27,33,37,38,43,47,51,52,93,93,93
POST,/api/v1/register,1094,0,21,23.121302419552556,3.2838750012160745,99.81083300226601,236.3619744058501,18.524816955157696,0.0,21,26,30,33,38,43,48,50,90,100,100
POST,/api/v1/verify,282,0,26,26.85622827311495,8.160834000591421,88.13012500104378,393.0,4.77513563195107,0.0,26,31,33,34,39,42,44,46,88,88,88
GET,/api/v1/verify/51cd829961deef699d7099eb27a5b832c8c6c054407878d55917b490989cab55,269,269,38,36.862827933217716,12.64108399846009,95.2043750003213,393.0,4.555005265939141,4.555005265939141,38,42,43,45,49,53,61,67,95,95,95
GET,/api/v1/verify/ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,262,0,26,26.475200225276524,4.539458001090679,89.31658299843548,97.0,4.436473530394257,0.0,26,31,35,37,40,44,48,53,89,89,89
,Aggregated,2735,269,25,26.543865722865444,1.9480419978208374,99.81083300226601,187.5528336380256,46.312042387894245,4.555005265939141,25,32,35,37,42,46,50,53,93,100,100
