Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/health,831,0,24,25.17187233574598,1.7389999993611127,112.66299999988405,15.0,14.032300801752273,0.0,24,30,33,35,42,47,53,56,110,110,110
POST,/api/v1/register,1097,0,20,21.09094021700994,2.7687080000760034,108.46787500122446,230.6563354603464,18.52398794166335,0.0,20,24,27,29,35,41,47,51,66,110,110
POST,/api/v1/verify,267,0,24,25.846912445749457,9.312750000390224,110.56320799980313,393.0,4.5085731817904415,0.0,24,29,32,34,39,43,49,53,110,110,110
GET,/api/v1/verify/51cd829961deef699d7099eb27a5b832c8c6c054407878d55917b490989cab55,285,285,35,34.666143568411876,8.347457998752361,78.8102920014353,393.0,4.81252193561901,4.81252193561901,35,40,42,44,48,52,56,59,79,79,79
GET,/api/v1/verify/ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,263,0,24,23.936200574181616,2.994750000652857,61.3697080007114,97.0,4.441029014272981,0.0,24,29,32,33,38,42,47,51,61,61,61
,Aggregated,2743,285,23,24.473490565106477,1.7389999993611127,112.66299999988405,185.1775428363106,46.318412875098055,4.81252193561901,23,29,32,34,41,46,52,55,110,110,110
